Código Postal,Asentamiento,Tipo de Asentamiento,Municipio,Estado,Ciudad,Clave de Oficina
31000,Chihuahua Centro,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31000,San Pedro,Barrio,Chihuahua,Chihuahua,Chihuahua,31001
31000,Sector Bolívar,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31000,Parque Rotario,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31000,Colon,Colonia,Chihuahua,Chihuahua,Chihuahua,31001
31000,El Bajo,Barrio,Chihuahua,Chihuahua,Chihuahua,31001
31000,San Pedro,Barrio,Chihuahua,Chihuahua,Chihuahua,31001
31020,Santa Rita,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31020,Cuauhtémoc,Unidad habitacional,Chihuahua,Chihuahua,Chihuahua,31052
31020,Zarco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052
31020,Inalámbrica,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31020,Sector Salud,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31020,Cuarteles,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31020,Residencial Zarco,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052
31020,Herradura Pdu,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31020,Linss,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31020,Rubio,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31020,Las Huertas,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31029,Quinta Zona Militar,Equipamiento,Chihuahua,Chihuahua,Chihuahua,31052
31030,Pacifico,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31030,Francisco I. Madero,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31030,Rosario,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31034,Gustavo Diaz Ordaz,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31034,Francisco R Almada,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052
31034,Reforma,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31034,Ampliación Reforma,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31034,Ferrocarrilera,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31034,Ampliación Gustavo Díaz Ordaz,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31050,Santa Rosa,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31050,Pablo Amaya Norte,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31050,Rincones de Santa Rosa,Unidad habitacional,Chihuahua,Chihuahua,Chihuahua,31052
31050,Pablo Amaya Sur,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31050,Bellavista,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31050,Melchor Ocampo,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31050,Dale,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,Cerro Grande,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,Las Vencedoras,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,Villas del Sur,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052
31054,Loma Alta,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,San Agustín,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,San Jorge,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,San Lázaro,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,San Juan,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,Unidad Proletaria,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,Valle Escondido,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,Villa Dolores,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31054,Adelitas,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31060,San Rafael,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31060,Barrio de Londres,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31060,La Joya,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31060,La Minita,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31060,Toribio Ortega 2,Fraccionamiento,Chihuahua,Chihuahua,Chihuahua,31052
31060,Lealtad I,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
31060,San Fernando,Colonia,Chihuahua,Chihuahua,Chihuahua,31052
