"","Número de CUI","Fecha del delito","Hora del delito","Estado","Municipio","Latitud","Longitud","Sexo de la Víctima","Edad de la víctima","tiempo_num","hora_delito","hora"
"1","232/2018","06/07/15","10:30:00 a. m.","ZACATECAS","GUADALUPE","22.7604623","-102.478882","Hombre","38",10H 30M 0S,10H 30M 0S,10
"2","1934/2019","10/03/16","12:30:00 a. m.","ZACATECAS","GUADALUPE","22.7587633","-102.523192","Hombre",NA,12H 30M 0S,12H 30M 0S,12
"3","26/2019","01/01/17","01:00:00 p. m.","ZACATECAS","GUADALUPE","22.7451593","-102.5218612","Hombre","54",1H 0M 0S,13H 0M 0S,13
"4","5955/2019","15/07/17","14:00:00","ZACATECAS","GUADALUPE","22.7392855","-102.5141625","Hombre","60",14H 0M 0S,14H 0M 0S,14
"5","2496/2018","15/11/17","10:00:00 a. m.","ZACATECAS","ZACATECAS","22.7486677","-102.6069138","Hombre","40",10H 0M 0S,10H 0M 0S,10
"6","1012/2018","07/02/18","05:00:00 a. m.","ZACATECAS","GUADALUPE","22.7514671","-102.5136023","Mujer","46",5H 0M 0S,5H 0M 0S,5
"7","2232/2018","10/04/18","10:40:00 a. m.","ZACATECAS","GUADALUPE","22.8222147","-102.405142","Mujer","38",10H 40M 0S,10H 40M 0S,10
"8","132/2018","18/05/18","08:00:00 p. m.","ZACATECAS","GUADALUPE","22.7532246","-102.517008","Mujer","54",8H 0M 0S,20H 0M 0S,20
"9","2587/2018","08/06/18","02:00:00 a. m.","ZACATECAS","GUADALUPE","22.7640534","-102.5370331","Hombre","43",2H 0M 0S,2H 0M 0S,2
"10","517/2018","09/06/18","05:05:00 a. m.","ZACATECAS","TRANCOSO","22.7476783","-102.359717","Hombre",NA,5H 5M 0S,5H 5M 0S,5
"11","1709/2018","11/06/18","08:30:00 a. m.","ZACATECAS","GUADALUPE","22.7541881","-102.524224","Mujer","53",8H 30M 0S,8H 30M 0S,8
"12","56(PIE)/2018","14/06/18","03:00:00 a. m.","ZACATECAS","ZACATECAS","22.7705359","-102.5685297","Mujer","29",3H 0M 0S,3H 0M 0S,3
"13","606/2018","18/06/18","03:00:00 p. m.","ZACATECAS","GUADALUPE","22.7595287","-102.515301","Hombre","32",3H 0M 0S,15H 0M 0S,15
"14","2074/2018","22/06/18","08:15:00 p. m.","ZACATECAS","ZACATECAS","22.750763","-102.5759","Mujer","31",8H 15M 0S,20H 15M 0S,20
"15","2401/2018","28/06/18","09:00:00 a. m.","ZACATECAS","GENARO CODINA","22.48727","-102.4547281","Hombre","42",9H 0M 0S,9H 0M 0S,9
"16","2112/2018","29/06/18","07:20:00 a. m.","ZACATECAS","GUADALUPE","22.7476919","-102.5114601","Hombre","27",7H 20M 0S,7H 20M 0S,7
"17","2292/2018","29/06/18","09:15:00 p. m.","ZACATECAS","GUADALUPE","22.7565759","-102.511889","Mujer","27",9H 15M 0S,21H 15M 0S,21
"18","2592/2018","29/06/18","04:00:00 a. m.","ZACATECAS","GUADALUPE","22.7522644","-102.529579","Hombre","36",4H 0M 0S,4H 0M 0S,4
"19","2084/2018","30/06/18","09:30:00 a. m.","ZACATECAS","ZACATECAS","22.76414","-102.5865558","Hombre",NA,9H 30M 0S,9H 30M 0S,9
"20","2095/ATEPENAL/2018","30/06/18","10:00:00 a. m.","ZACATECAS","GUADALUPE","22.7499685","-102.5180644","Mujer","53",10H 0M 0S,10H 0M 0S,10
"21","2128/ATEPENAL/2018","30/06/18","11:20:00 a. m.","ZACATECAS","GUADALUPE","22.7581699","-102.5401975","Hombre","67",11H 20M 0S,11H 20M 0S,11
"22","2156/2018","02/07/18","07:00:00 p. m.","ZACATECAS","GUADALUPE","22.7597478","-102.4787495","Hombre","26",7H 0M 0S,19H 0M 0S,19
"23","2070/2018","02/07/18","10:00:00 a. m.","ZACATECAS","ZACATECAS","22.7591687","-102.5695585","Hombre","59",10H 0M 0S,10H 0M 0S,10
"24","2073/2018","02/07/18","12:30:00 a. m.","ZACATECAS","ZACATECAS","22.7611111","-102.5953506","Hombre","42",12H 30M 0S,12H 30M 0S,12
"25","2159/2018","02/07/18","06:45:00 p. m.","ZACATECAS","GUADALUPE","22.755351","-102.480262","Mujer","38",6H 45M 0S,18H 45M 0S,18
"26","2106/2018","03/07/18","06:20:00 p. m.","ZACATECAS","GUADALUPE","22.7531306","-102.4949365","Hombre","22",6H 20M 0S,18H 20M 0S,18
"27","2087/2018","03/07/18","01:00:00 a. m.","ZACATECAS","TRANCOSO","22.7333631","-102.3667921","Mujer","53",1H 0M 0S,1H 0M 0S,1
"28","605/2018","03/07/18","09:00:00 p. m.","ZACATECAS","ZACATECAS","22.7471739","-102.592437","Mujer","56",9H 0M 0S,21H 0M 0S,21
"29","22/2018","04/07/18","08:40:00 a. m.","ZACATECAS","GUADALUPE","22.7339158","-102.5272932","Mujer","47",8H 40M 0S,8H 40M 0S,8
"30","2130/2018","05/07/18","04:40:00 a. m.","ZACATECAS","ZACATECAS","22.6946129","-102.1153142","Mujer","44",4H 40M 0S,4H 40M 0S,4
"31","2181/2018","05/07/18","10:00:00 p. m.","ZACATECAS","GUADALUPE","22.8229434","-102.4031569","Hombre","34",10H 0M 0S,22H 0M 0S,22
"32","2161/2018","05/07/18","01:30:00 a. m.","ZACATECAS","GUADALUPE","22.7587534","-102.501488","Hombre","35",1H 30M 0S,1H 30M 0S,1
"33","16/2018","05/07/18","06:30:00 a. m.","ZACATECAS","ZACATECAS","22.7550229","-102.5728438","Hombre",NA,6H 30M 0S,6H 30M 0S,6
"34","1050/2018","05/07/18","01:00:00 p. m.","ZACATECAS","ZACATECAS","22.7705359","-102.5685297","Mujer","34",1H 0M 0S,13H 0M 0S,13
"35","64/2018","06/07/18","06:00:00 p. m.","ZACATECAS","GUADALUPE","22.7376401","-102.5081817","Hombre","60",6H 0M 0S,18H 0M 0S,18
"36","2141/2018","06/07/18","9:00:00","ZACATECAS","GUADALUPE","22.7565759","-102.511889","Hombre",NA,9H 0M 0S,9H 0M 0S,9
"37","2228/2018","06/07/18","10:00:00 a. m.","ZACATECAS","GUADALUPE","22.754924","-102.5355617","Hombre","52",10H 0M 0S,10H 0M 0S,10
"38","2143/2018","06/07/18","01:30:00 p. m.","ZACATECAS","ZACATECAS","22.776654","-102.614371","Mujer","48",1H 30M 0S,13H 30M 0S,13
"39","14/2018","06/07/18","12:00:00 a. m.","ZACATECAS","ZACATECAS","22.7643416","-102.5478","Hombre","36",12H 0M 0S,12H 0M 0S,12
"40","70/2018","07/07/18","03:20:00 p. m.","ZACATECAS","ZACATECAS","22.7699119","-102.56111","Mujer","21",3H 20M 0S,15H 20M 0S,15
"41","2194/2018","07/07/18","04:00:00 p. m.","ZACATECAS","ZACATECAS","22.76414","-102.5865558","Mujer","51",4H 0M 0S,16H 0M 0S,16
"42","77/2018","07/07/18","05:30:00 p. m.","ZACATECAS","GUADALUPE","22.730995","-102.475548","Mujer","65",5H 30M 0S,17H 30M 0S,17
"43","13/2018","07/07/18","12:00:00 p. m.","ZACATECAS","GUADALUPE","22.7551714","-102.44807","Hombre","39",12H 0M 0S,24H 0M 0S,24
"44","37/2018","07/07/18","08:00:00 p. m.","ZACATECAS","GUADALUPE","22.7547831","-102.499995","Hombre","45",8H 0M 0S,20H 0M 0S,20
"45","38/2018","07/07/18","02:00:00 p. m.","ZACATECAS","ZACATECAS","22.774215","-102.583834","Hombre","29",2H 0M 0S,14H 0M 0S,14
"46","32/2018","07/07/18","01:30:00 a. m.","ZACATECAS","GUADALUPE","22.746267","-102.519991","Hombre","48",1H 30M 0S,1H 30M 0S,1
"47","16/2018-2","08/07/18","08:30:00 a. m.","ZACATECAS","GUADALUPE","22.738452","-102.511714","Hombre","38",8H 30M 0S,8H 30M 0S,8
"48","21/2018","08/07/18","07:00:00 p. m.","ZACATECAS","ZACATECAS","22.7526009","-102.571941","Hombre","36",7H 0M 0S,19H 0M 0S,19
"49","18/2018","08/07/18","01:00:00 p. m.","ZACATECAS","ZACATECAS","22.777222","-102.5625","Hombre","47",1H 0M 0S,13H 0M 0S,13
"50","57(PIE)/2018","08/07/18","08:30:00 a. m.","ZACATECAS","GUADALUPE","22.7471511","-102.5191748","Hombre","60",8H 30M 0S,8H 30M 0S,8
"51","2188/2018","09/07/18","08:30:00 a. m.","ZACATECAS","GUADALUPE","22.7686282","-102.5723871","Mujer",NA,8H 30M 0S,8H 30M 0S,8
"52","40/2018","09/07/18","10:30:00 a. m.","ZACATECAS","ZACATECAS","22.7564427","-102.5897301","Hombre",NA,10H 30M 0S,10H 30M 0S,10
"53","28/2018","09/07/18","07:00:00 a. m.","ZACATECAS","GUADALUPE","22.7509767","-102.5290858","Mujer","48",7H 0M 0S,7H 0M 0S,7
"54","31/2018","09/07/18","02:00:00 p. m.","ZACATECAS","ZACATECAS","22.7779082","-102.6189786","Mujer","51",2H 0M 0S,14H 0M 0S,14
